symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason
ITC-EQ,2025-12-13 15:00:00+05:30,2025-12-13 15:00:00+05:30,375.0,375.0,1,Double Top,-0.75,-0.1998001998001998,stop_loss
ASIANPAINT-EQ,2025-12-13 15:00:00+05:30,2025-12-13 15:00:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 15:00:00+05:30,2025-12-13 15:00:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
RELIANCE-EQ,2025-12-13 15:01:00+05:30,2025-12-13 15:01:00+05:30,1720.1,1720.1,1,Double Bottom,-3.4402000000000044,-0.19980019980020006,target
ITC-EQ,2025-12-13 15:01:00+05:30,2025-12-13 15:01:00+05:30,375.0,375.0,1,Double Top,-0.75,-0.1998001998001998,stop_loss
ASIANPAINT-EQ,2025-12-13 15:01:00+05:30,2025-12-13 15:01:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 15:01:00+05:30,2025-12-13 15:01:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
DRREDDY-EQ,2025-12-13 15:01:00+05:30,2025-12-13 15:01:00+05:30,1192.0,1192.0,1,Double Top,-2.3840000000000146,-0.19980019980020103,stop_loss
RELIANCE-EQ,2025-12-13 15:02:00+05:30,2025-12-13 15:02:00+05:30,1670.0,1670.0,2,Double Bottom,-6.680000000000291,-0.19980019980020852,target
ITC-EQ,2025-12-13 15:02:00+05:30,2025-12-13 15:02:00+05:30,375.0,375.0,1,Double Top,-0.75,-0.1998001998001998,stop_loss
ASIANPAINT-EQ,2025-12-13 15:02:00+05:30,2025-12-13 15:02:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 15:02:00+05:30,2025-12-13 15:02:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
DRREDDY-EQ,2025-12-13 15:02:00+05:30,2025-12-13 15:02:00+05:30,1192.0,1192.0,1,Double Top,-2.3840000000000146,-0.19980019980020103,stop_loss
RELIANCE-EQ,2025-12-13 15:03:00+05:30,2025-12-13 15:03:00+05:30,1670.0,1670.0,2,Double Bottom,-6.680000000000291,-0.19980019980020852,target
ITC-EQ,2025-12-13 15:03:00+05:30,2025-12-13 15:03:00+05:30,375.0,375.0,1,Double Top,-0.75,-0.1998001998001998,stop_loss
ASIANPAINT-EQ,2025-12-13 15:03:00+05:30,2025-12-13 15:03:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
